year,age,males,females
2025,0,167809,165481
2025,5,160427,158480
2025,10,144467,143158
2025,15,123238,122614
2025,20,106789,106096
2025,25,96412,94510
2025,30,97580,91992
2025,35,95531,86805
2025,40,84502,75545
2025,45,68223,61157
2025,50,52497,48107
2025,55,39267,37395
2025,60,28912,29030
2025,65,20329,21777
2025,70,13713,15829
2025,75,8429,10285
2025,80,4488,5854
2025,85,1926,2721
2025,90,553,872
2025,95,103,179
2025,100,13,22
2050,0,212117,209309
2050,5,204368,201927
2050,10,192710,190491
2050,15,181608,179208
2050,20,181072,176836
2050,25,177090,173162
2050,30,164481,162630
2050,35,143508,143805
2050,40,117679,119909
2050,45,93067,97161
2050,50,79329,83291
2050,55,78525,80284
2050,60,72766,73447
2050,65,57960,59762
2050,70,39661,42959
2050,75,23638,27606
2050,80,11901,15335
2050,85,4732,6875
2050,90,1322,2212
2050,95,237,461
2050,100,25,57
2075,0,232407,228397
2075,5,228286,224487
2075,10,223675,220102
2075,15,222190,218435
2075,20,231453,225191
2075,25,229194,223135
2075,30,214660,210912
2075,35,196605,195038
2075,40,178715,179000
2075,45,164249,166436
2075,50,153652,158365
2075,55,139794,147609
2075,60,116766,127632
2075,65,88247,101394
2075,70,61096,75171
2075,75,41912,55006
2075,80,29211,40311
2075,85,15517,23317
2075,90,5216,9128
2075,95,993,2141
2075,100,102,292
2100,0,236310,231603
2100,5,236629,231767
2100,10,236819,231939
2100,15,240282,234799
2100,20,255636,246596
2100,25,255730,246433
2100,30,243547,236721
2100,35,231766,227299
2100,40,222397,220068
2100,45,213798,213658
2100,50,203865,206416
2100,55,189294,194990
2100,60,169157,178386
2100,65,145452,158692
2100,70,121298,138584
2100,75,96303,117387
2100,80,66602,88855
2100,85,34984,53167
2100,90,12487,23011
2100,95,2661,6413
2100,100,338,1173